vendor_action,action
annotation,delivered
clicker,blocked
deliver,delivered
drop,blocked
header,delivered
msg_aborted,blocked
msg_all_invalid,blocked
msg_reject_dns,blocked
msg_reject_mailfrom,blocked
msg_reject_other,blocked
notification,delivered
notify,delivered
quarantine,quarantined
rdns_does_not_exist,blocked
recipients,delivered
subject,delivered
tls_on_reception_enforced,unknown
