vendor_action,action
header,delivered
recipients,delivered
annotaion,delivered
notification,delivered
subject,delivered
deliver,delivered
msg_reject_dns,blocked
rdns_does_not_exist,
msg_reject_other,blocked
quarantine,quarantined
msg_reject_mailfrom,blocked
tls_on_reception_enforced,
drop,blocked
msg_all_invalid,
